,OS,Remission,pCR,pRelapse
PCA_53,0.9,1.0,1.0,1.0
PCA_54,1.0,1.0,1.0,0.98
PCA_55,1.0,1.0,1.0,1.0
PCA_56,1.0,1.0,1.029,1.0
PCA_57,1.0,1.0,1.0,1.0
PCA_58,1.0,1.0,1.0,1.0
PCA_59,1.0,1.0,1.0,1.0
PCA_60,1.0,1.0,0.9882516,1.0
PCA_61,1.0,1.0,1.0,0.9
PCA_62,1.0,0.98,1.05,1.0
PCA_63,1.0,1.0,1.0,1.0
PCA_64,1.0,1.0,1.0,1.0
PCA_65,1.0,1.0,1.0,0.9
PCA_66,1.0,0.9,0.98,1.0
PCA_67,1.0,1.0,0.98,1.0
PCA_68,1.0,1.0,0.9,1.0
PCA_69,1.0,1.0,1.0,1.0
PCA_70,1.0,1.0,1.0,1.0
PCA_71,1.0,1.0,0.98,1.0
PCA_72,0.9,1.0,1.0,1.0
PCA_73,1.0,0.9,1.0,0.9
PCA_74,1.0,1.0,1.0,1.0
PCA_75,1.0,1.0,1.0,1.0
PCA_76,1.0,1.0,0.9450000000000001,1.0
PCA_77,1.0,1.0,0.98,1.0
PCA_78,1.0,1.0,1.0,1.0
PCA_79,1.0,1.0,1.0,1.0
PCA_80,1.0,1.0,1.0,1.0
PCA_81,1.0,1.0,1.0,1.0
PCA_82,1.0,1.0,1.029,1.0
PCA_83,0.98,1.0,1.0,1.0
PCA_84,1.0,1.0,1.0,1.0
PCA_85,1.0,1.0,0.98,1.0
PCA_86,1.0,0.9,1.0,1.0
PCA_87,1.0,0.98,1.0,1.0
PCA_88,1.0,1.0,0.98,1.05
PCA_89,1.0,1.0,0.98,1.0
PCA_90,1.0,1.0,0.98,1.0
PCA_91,0.98,1.0,1.0,1.0
PCA_92,0.9603999999999999,1.0,1.0,1.0
PCA_93,1.0,1.0,0.98,0.98
PCA_94,1.0,1.0,1.0,1.0
PCA_95,0.9,1.0,0.98,1.0
PCA_96,1.0,1.0,1.0,1.0
PCA_97,1.0,1.0,0.9,1.0
PCA_98,1.0,1.0,1.0,1.0
PCA_99,0.9,1.0,0.98,1.0
PCA_100,1.0,1.0,0.98,1.0
PCA_101,1.0,1.0,1.0,1.0
PCA_102,0.9,1.0,1.0,1.0
PCA_103,1.0,1.0,0.98,1.0
PCA_104,1.0,1.0,0.98,1.0
PCA_105,2.0,0.9,1.0,1.0
PCA_106,0.98,1.0,0.882,0.98
PCA_107,0.882,1.0,0.98,1.0
PCA_108,1.0,1.0,1.029,1.0
PCA_109,0.98,0.9,1.029,0.98
PCA_110,1.0,0.98,1.0,1.0
PCA_111,1.0,0.9,1.0,1.0
PCA_112,1.0,1.0,0.98,1.0
PCA_113,1.0,1.0,0.98,1.0
PCA_114,0.9,1.0,1.0,0.9
PCA_115,1.0,1.0,0.9603999999999999,1.0
PCA_116,1.0,1.0,1.0,1.0
PCA_117,1.0,1.0,0.98,1.0
PCA_118,1.0,1.0,1.05,1.0
PCA_119,0.882,1.0,1.0,1.0
PCA_120,0.98,1.0,1.0,1.0
PCA_121,0.9,0.98,0.9450000000000001,1.0
PCA_122,1.0,1.0,1.0,1.0
PCA_123,0.98,1.0,1.0,1.0
PCA_124,1.0,1.0,0.98,1.0
PCA_125,1.0,1.0,1.0,1.0
PCA_126,1.0,1.0,1.029,1.0
PCA_127,0.9603999999999999,1.0,1.0,1.0
PCA_128,1.0,0.98,1.0,1.0
PCA_129,1.0,1.0,1.0,1.0
PCA_130,1.0,1.0,0.882,1.0
PCA_131,1.0,1.0,0.98,1.0
PCA_132,1.0,1.0,1.029,0.9
PCA_133,0.9,0.9,1.0,1.0
PCA_134,0.98,1.0,1.0,0.9
PCA_135,1.0,1.0,1.0,1.0
PCA_136,0.98,1.0,1.0,1.029
PCA_137,1.0,1.0,1.0,1.0
PCA_138,1.0,1.0,1.029,1.0
PCA_139,1.0,1.0,1.0,1.0
PCA_140,1.0,1.0,1.0,1.0
PCA_141,1.0,1.0,1.0,1.0
PCA_142,1.0,1.0,0.98,1.0
PCA_143,1.0,1.0,1.0,1.0
PCA_144,1.0,1.0,1.0,1.0
PCA_145,1.0,2.0,0.9603999999999999,1.0
PCA_146,1.0,0.9603999999999999,0.98,1.0
PCA_147,1.0,1.0,0.98,1.0
PCA_148,1.0,1.0,1.0,0.98
PCA_149,1.0,1.0,1.0,1.0
PCA_150,1.0,1.0,0.98,0.9
PCA_151,1.0,1.0,1.0,1.0
PCA_152,1.0,1.0,1.0,0.9
PCA_153,1.0,1.0,0.9603999999999999,1.0
PCA_154,1.0,1.0,0.98,1.029
PCA_155,1.0,1.0,1.0,1.0
PCA_156,1.0,1.0,1.0,1.0
PCA_157,1.0,1.0,1.0,1.0
PCA_158,1.0,0.98,1.08045,1.0
PCA_159,1.0,1.0,0.98,1.0
PCA_160,1.0,1.0,1.0,0.98
PCA_161,1.0,1.0,1.0,1.0
PCA_162,1.0,1.0,1.0,1.0
PCA_163,1.0,1.0,0.98,1.0
PCA_164,1.0,1.0,1.0,1.0
PCA_165,1.0,1.0,0.9603999999999999,1.0
PCA_166,1.0,2.0,1.0,1.0
PCA_167,1.0,1.0,1.0,1.0
PCA_168,1.0,1.0,1.0,1.0
PCA_169,1.0,1.0,1.0,1.0
PCA_170,0.98,1.0,1.0,0.98
PCA_171,0.9,1.0,0.98,1.0
PCA_172,1.0,1.0,1.0,1.0
PCA_173,1.0,1.0,1.029,1.0
PCA_174,0.98,1.0,1.0,1.0
PCA_175,2.0,1.0,0.98,0.98
PCA_176,1.0,1.0,1.05,2.0
PCA_177,1.0,1.0,1.0,1.0
PCA_178,1.0,1.0,0.98,1.0
PCA_179,0.9,1.0,1.0,1.0
PCA_180,0.98,1.0,0.98,1.0
PCA_181,1.0,0.98,1.05,1.0
PCA_182,1.0,1.0,1.0,1.0
PCA_183,1.0,1.0,1.0,0.9
PCA_184,1.0,0.98,0.9603999999999999,1.0
PCA_185,1.0,1.0,1.08045,0.98
PCA_186,0.9,1.0,1.0,1.0
PCA_187,1.0,1.0,0.98,0.98
PCA_188,1.0,1.0,1.0,1.0
PCA_189,1.0,1.0,1.0,1.05
PCA_190,1.0,1.0,1.0,1.0
PCA_191,1.0,1.0,1.0,1.0
PCA_192,0.9,1.0,0.98,1.0
PCA_193,0.9,1.0,1.0,1.0
PCA_194,1.0,1.0,1.0,1.0
PCA_195,1.0,0.98,1.05,0.98
PCA_196,1.0,1.0,1.05,1.0
PCA_197,1.0,1.0,0.98,1.0
PCA_198,1.0,1.0,1.0,1.0
PCA_199,1.0,1.0,1.05,1.0
PCA_200,0.98,1.0,1.0,1.0
PCA_Sq_1,1.0,1.0,0.98,1.05
PCA_Sq_2,1.0,1.0,0.98,1.0
PCA_Sq_3,0.98,1.0,0.98,1.0
PCA_Sq_4,1.0,0.9,0.9603999999999999,1.0
PCA_Sq_5,1.0,1.0,0.9,0.98
PCA_Sq_6,1.0,1.0,1.0,1.0
PCA_Sq_7,1.0,1.0,0.98,1.0
PCA_Sq_8,1.0,1.0,0.98,1.0
PCA_Sq_9,1.0,0.9,1.0,1.0
PCA_Sq_10,1.0,1.0,1.0,0.98
PCA_Sq_11,1.0,0.98,1.0,1.0
PCA_Sq_12,1.0,1.0,0.98,0.98
PCA_Sq_13,0.98,1.0,1.0,1.0
PCA_Sq_14,1.0,1.0,1.0,1.0
PCA_Sq_15,1.0,1.0,1.05,1.0
PCA_Sq_16,1.0,1.0,1.0,1.0
PCA_Sq_17,1.0,1.0,1.0,1.0
PCA_Sq_18,1.0,1.0,1.0,1.0
PCA_Sq_19,1.0,1.0,1.0,1.0
PCA_Sq_20,1.0,0.9,1.05,1.0
PCA_Sq_21,1.0,0.98,0.98,0.98
PCA_Sq_22,1.0,1.0,1.0,0.9
PCA_Sq_23,1.0,1.0,1.0,1.0
PCA_Sq_24,0.98,0.98,1.0,1.0
PCA_Sq_25,1.0,1.0,1.029,1.0
PCA_Sq_26,1.0,1.0,0.9603999999999999,1.0
PCA_Sq_27,0.9,1.0,1.0,1.0
PCA_Sq_28,1.0,1.0,1.0,1.0
PCA_Sq_29,1.0,0.98,0.98,1.0
PCA_Sq_30,1.0,1.0,1.0,1.0
PCA_Sq_31,1.0,1.0,1.0,1.0
PCA_Sq_32,1.0,1.0,0.9603999999999999,0.9
PCA_Sq_33,1.0,1.0,1.0,1.0
PCA_Sq_34,1.0,1.0,1.0,1.0
PCA_Sq_35,1.0,1.0,1.0,1.0
PCA_Sq_36,1.0,1.0,1.0,1.0
PCA_Sq_37,1.0,1.0,1.0,1.0
PCA_Sq_38,1.0,0.98,1.0,1.0
PCA_Sq_39,1.0,0.81,0.9603999999999999,1.0
PCA_Sq_40,1.0,1.0,1.0,1.0
PCA_Sq_41,0.98,1.0,0.98,1.0
PCA_Sq_42,1.0,1.0,1.0,2.0
PCA_Sq_43,0.9,1.0,1.0,1.0
PCA_Sq_44,1.0,1.0,1.0,1.0
PCA_Sq_45,1.0,0.9,0.98,1.0
PCA_Sq_46,1.0,1.0,0.98,1.0
PCA_Sq_47,1.0,1.0,1.0,1.0
PCA_Sq_48,0.98,1.0,1.0,1.0
PCA_Sq_49,1.0,0.98,1.05,1.0
PCA_Sq_50,1.0,1.0,1.0,1.0
PCA_Sq_51,1.0,0.98,0.98,1.0
PCA_Sq_52,1.0,1.0,1.0,1.0
PCA_Sq_53,0.98,1.0,0.98,1.0
PCA_Sq_54,1.0,1.0,1.0,1.0
PCA_Sq_55,0.9,1.0,1.0,0.9
PCA_Sq_56,1.0,1.0,1.0,1.0
PCA_Sq_57,0.98,1.0,1.0,1.0
PCA_Sq_58,1.0,1.0,1.0,1.0
PCA_Sq_59,0.98,1.0,1.0,1.0
PCA_Sq_60,1.0,1.0,0.98,1.0
PCA_Sq_61,1.0,1.0,0.98,1.0
PCA_Sq_62,0.9603999999999999,0.9,1.0,1.0
PCA_Sq_63,1.0,1.0,1.0,1.0
PCA_Sq_64,1.0,1.0,1.0,1.0
PCA_Sq_65,1.0,1.0,0.98,1.0
PCA_Sq_66,1.0,1.0,1.0,1.0
PCA_Sq_67,1.0,1.0,1.0,1.0
PCA_Sq_68,1.0,1.0,0.98,1.0
PCA_Sq_69,1.0,1.0,1.0,1.0
PCA_Sq_70,0.98,1.0,1.0,1.0
PCA_Sq_71,1.0,1.0,1.0,1.0
PCA_Sq_72,0.98,1.0,1.0,1.0
PCA_Sq_73,1.0,1.0,1.0,1.0
PCA_Sq_74,1.0,1.0,1.0,1.0
PCA_Sq_75,0.98,1.0,1.0,1.0
PCA_Sq_76,1.0,0.9,1.0,1.0
PCA_Sq_77,0.98,0.9,1.0,1.0
PCA_Sq_78,1.0,1.0,1.0,1.0
PCA_Sq_79,1.0,1.0,1.0,0.98
PCA_Sq_80,1.0,1.0,1.0,1.0
PCA_Sq_81,1.0,1.0,1.0,1.0
PCA_Sq_82,1.0,1.0,1.0,1.0
PCA_Sq_83,1.0,1.0,1.0,1.0
PCA_Sq_84,1.0,1.0,1.0,1.0
PCA_Sq_85,0.9,0.9,1.0,1.0
PCA_Sq_86,1.0,1.0,1.0,0.9
PCA_Sq_87,1.0,1.0,1.0,1.0
PCA_Sq_88,0.98,0.98,1.0,1.0
PCA_Sq_89,1.0,0.98,1.0,0.98
PCA_Sq_90,1.0,0.882,0.98,1.0
PCA_Sq_91,1.0,1.0,0.98,0.98
PCA_Sq_92,1.0,1.0,1.0,1.0
PCA_Sq_93,1.0,1.0,1.0,1.0
PCA_Sq_94,1.0,0.9,1.0,1.0
PCA_Sq_95,1.0,1.0,1.0,1.0
PCA_Sq_96,1.0,1.0,1.0,1.0
PCA_Sq_97,0.98,1.0,0.98,1.0
PCA_Sq_98,1.0,1.0,0.98,1.0
PCA_Sq_99,1.0,1.0,0.9603999999999999,1.0
PCA_Sq_100,1.0,1.0,1.05,1.0
PCA_Sq_101,1.0,1.0,0.9603999999999999,1.0
PCA_Sq_102,0.98,0.98,1.0,0.9
PCA_Sq_103,1.0,1.0,1.0,1.0
PCA_Sq_104,1.0,0.9,1.0,1.0
PCA_Sq_105,1.0,0.9,1.0,1.0
PCA_Sq_106,1.0,1.0,0.98,0.98
PCA_Sq_107,1.0,0.9,1.0,1.0
PCA_Sq_108,1.0,1.0,1.0,1.0
PCA_Sq_109,1.0,1.0,0.98,1.0
PCA_Sq_110,1.0,1.0,0.9603999999999999,1.0
PCA_Sq_111,1.0,1.0,1.05,1.0
PCA_Sq_112,1.0,1.0,1.0,1.0
PCA_Sq_113,0.9,1.0,0.98,0.9
PCA_Sq_114,0.98,1.0,1.0,1.0
PCA_Sq_115,0.98,1.0,0.98,1.0
PCA_Sq_116,1.0,1.0,0.98,1.0
PCA_Sq_117,1.0,0.98,0.98,1.0
PCA_Sq_118,1.0,1.0,1.0,0.9
PCA_Sq_119,1.0,1.0,0.98,0.7290000000000001
PCA_Sq_120,1.0,1.0,1.0,1.0
PCA_Sq_121,0.9,0.9,1.1025,1.0
PCA_Sq_122,1.0,0.9,1.0,1.0
PCA_Sq_123,1.0,1.0,0.98,1.0
PCA_Sq_124,1.0,0.9,0.98,1.0
PCA_Sq_125,1.0,0.9,0.98,1.0
PCA_Sq_126,0.882,1.0,1.0,1.0
PCA_Sq_127,1.0,1.0,1.0,1.0
PCA_Sq_128,1.0,1.0,1.0,1.0
PCA_Sq_129,2.0,1.0,0.98,1.0
PCA_Sq_130,1.0,2.0,1.05,1.0
PCA_Sq_131,1.0,1.0,1.0,1.0
PCA_Sq_132,1.0,0.9,1.0,1.0
PCA_Sq_133,1.0,0.98,1.0,1.0
PCA_Sq_134,1.0,1.0,1.0,1.0
PCA_Sq_135,1.0,1.0,0.98,2.0
PCA_Sq_136,0.98,1.0,1.0,1.0
PCA_Sq_137,0.98,1.0,1.05,1.0
PCA_Sq_138,1.0,1.0,1.029,1.0
PCA_Sq_139,1.0,1.0,0.98,1.0
PCA_Sq_140,0.98,1.0,1.0,1.0
PCA_Sq_141,0.98,1.0,1.0,1.0
PCA_Sq_142,1.0,1.0,1.0,1.0
PCA_Sq_143,1.0,1.0,0.882,1.0
PCA_Sq_144,0.9603999999999999,1.0,0.98,0.98
PCA_Sq_145,1.0,1.0,0.98,1.0
PCA_Sq_146,1.0,1.0,1.029,0.9
PCA_Sq_147,1.0,1.0,0.98,0.9
PCA_Sq_148,1.0,1.0,1.0,2.0
PCA_Sq_149,1.0,0.9,0.98,1.0
PCA_Sq_150,1.0,1.0,1.05,1.0
PCA_Sq_151,1.0,1.0,1.0,1.0
PCA_Sq_152,1.0,0.9,0.9882515999999999,1.0
PCA_Sq_153,0.98,1.0,1.0,1.0
PCA_Sq_154,1.0,1.0,0.98,0.98
PCA_Sq_155,2.0,1.0,0.98,1.0
PCA_Sq_156,1.0,1.0,0.98,1.0
PCA_Sq_157,1.0,0.9,0.9,1.0
PCA_Sq_158,1.0,1.0,0.9603999999999999,1.0
PCA_Sq_159,1.0,1.0,0.98,1.0
PCA_Sq_160,1.0,1.0,1.05,1.0
PCA_Sq_161,1.0,1.0,1.0,1.0
PCA_Sq_162,1.0,1.0,0.98,1.0
PCA_Sq_163,1.0,0.9,1.0,1.0
PCA_Sq_164,1.0,1.0,1.0,1.0
PCA_Sq_165,1.0,1.0,1.0,1.0
PCA_Sq_166,1.0,0.98,1.0,1.0
PCA_Sq_167,0.98,0.98,0.98,1.0
PCA_Sq_168,1.0,0.882,1.0,0.98
PCA_Sq_169,1.0,1.0,0.98,1.0
PCA_Sq_170,1.0,1.0,1.0,1.0
PCA_Sq_171,2.0,1.0,1.0,1.0
PCA_Sq_172,1.0,1.0,1.0,1.0
PCA_Sq_173,1.0,1.0,1.0,1.0
PCA_Sq_174,0.9,1.0,1.0,1.0
PCA_Sq_175,0.882,1.0,1.1025,1.0
PCA_Sq_176,1.0,1.0,1.0,1.0
PCA_Sq_177,0.98,1.0,1.05,1.0
PCA_Sq_178,1.0,1.0,1.0,1.0
PCA_Sq_179,1.0,1.0,1.0,1.0
PCA_Sq_180,1.0,1.0,1.0,1.0
PCA_Sq_181,1.0,1.0,0.98,1.0
PCA_Sq_182,1.0,1.0,1.0,1.0
PCA_Sq_183,0.9,1.0,1.0,1.0
PCA_Sq_184,1.0,1.0,1.0,1.0
PCA_Sq_185,1.0,1.0,0.98,0.98
PCA_Sq_186,1.0,1.0,1.0,1.0
PCA_Sq_187,1.0,1.0,1.0,1.0
PCA_Sq_188,1.0,1.0,1.0,0.9
PCA_Sq_189,1.0,1.0,0.9603999999999999,1.0
PCA_Sq_190,1.0,1.0,1.0,1.0
PCA_Sq_191,1.0,1.0,1.0,1.0
PCA_Sq_192,1.0,1.0,0.98,1.0
PCA_Sq_193,0.98,1.0,1.0,1.0
PCA_Sq_194,0.98,1.0,0.98,1.0
PCA_Sq_195,1.0,1.0,1.0,1.0
PCA_Sq_196,0.98,1.0,1.0,1.0
PCA_Sq_197,0.98,1.0,0.98,0.9
PCA_Sq_198,1.0,0.9,0.98,1.0
PCA_Sq_199,1.0,1.0,0.98,1.0
PCA_Sq_200,0.98,1.0,1.0,1.0
